artikel;description;menge;datum;note;time_work;w;h;w2;artikel_split;artikel_split_2_x;Artikel;artikel_split_2_y;Menge;FachName
S200043357558B;Trennwand KH2000x500 SD bearb.;110;08.08.2025;MIETRA ;1.41;1948;0;499;S200043357558;;S200043357558A;;110.0;L9000.15.02.03
107800-3;SEITENWAND BEARBEITET;88;11.08.2025;33/2;1.05;928;0;574;107800;3;;;;
195725-3E;Rumpfteil re. SD 80mm UPECO;52;12.08.2025;;0.71;18793;0;596;195725;3E;195725-11E;11E;56.0;Station 10
213900-111;Fussteil 8570-272 neuerDrehpkt;39;13.08.2025;;0.44;0;770;478;213900;111;213900-11;11;60.0;Station 09
114825-111;Kopfteil 8934 bearb.;14;13.08.2025;;0.2;0;1186;885;114825;111;114825-11;11;120.0;Station 09
KT00000800500B002;KT B0800T500 (400|400);20;13.08.2025;;0.25;50;796;500;KT00000800500;002;KT00000800500A002;002;250.0;L9000.2.4.2
KT00000800500B002;KT B0800T500 (400|400);20;13.08.2025;;0.25;50;796;500;KT00000800500;002;KT00000800500A002;002;158.0;L9000.11.04.02
KT00000800500B002;KT B0800T500 (400|400);20;13.08.2025;;0.25;50;796;500;KT00000800500;002;KT00000800500A002;002;80.0;L9000.2.4.2
KT00000800500B002;KT B0800T500 (400|400);20;13.08.2025;;0.25;50;796;500;KT00000800500;002;KT00000800500A001E;001E;4.0;L9000.10.01.03
200786-111;Tür li.Ovalschl.m.LR bear.8820;15;13.08.2025;;0.2;905;509;0;200786;111;200786-11;11;15.0;Station 05
205165-111;Tür re.f.New Ergolock 2 Lochr.;49;13.08.2025 16:04:00;;0.74;1855;501;0;205165;111;205165-11;11;100.0;Station 11
162520-3;Mittelteil 48056-40 hint bearb;107;14.08.2025;;1.4;383;1187;0;162520;3;162520-2;2;110.0;Station 07
488KT03841187B01;M-teil 48056-40 vorn LB EVOLO;47;14.08.2025;;0.61;487;1187;0;488KT03841187;01;;;;
FT00001200500B002;FT B1200T500 (400|400|400);20;14.08.2025;;0.53;62;1198;499;FT00001200500;002;FT00001200500A005;005;30.0;L9000.5.4.1
FT00001200500B002;FT B1200T500 (400|400|400);20;14.08.2025;;0.53;62;1198;499;FT00001200500;002;FT00001200500A002;002;139.0;L9000.12.04.04
FT00001200500B002;FT B1200T500 (400|400|400);20;14.08.2025;;0.53;62;1198;499;FT00001200500;002;FT00001200500A002;002;336.0;L9000.2.3.5
FT00001200500B002;FT B1200T500 (400|400|400);20;14.08.2025;;0.53;62;1198;499;FT00001200500;002;FT00001200500A001;001;300.0;L9000.3.3.5
FT00001200500B002;FT B1200T500 (400|400|400);20;14.08.2025;;0.53;62;1198;499;FT00001200500;002;FT00001200500A001;001;264.0;L9000.2.2.1
